"Day","CAD_AUD","CHF_AUD","CNY_AUD","EUR_AUD","GBP_AUD","INR_AUD","JPY_AUD","NZD_AUD","PLN_AUD","USD_AUD","ZAR_AUD"
13284,0.8488,0.926,6.1121,0.5967,0.4063,34.914001,84.169998,1.2253,2.3132,0.767106,4.8813
13285,0.8464,0.9217,6.055,0.5955,0.40342,34.282001,84.190002,1.2188,2.3631,0.759417,4.8791
13286,0.8549,0.9198,6.0818,0.5941,0.4033,34.681,84.699997,1.2274,2.3489,0.764,4.9262
13287,0.84536,0.92007,6.044,0.59214,0.40246,34.131001,84.519997,1.2168,2.3424,0.757174,4.9219
13290,0.8404,0.907,6.032,0.5858,0.3993,34.125999,83.900002,1.2089,2.3237,0.753409,4.9095
13291,0.8446,0.9098,6.0392,0.5874,0.4001,34.066002,84.190002,1.2029,2.3337,0.750976,4.9775
13292,0.8426,0.9154,6.0147,0.5891,0.4021,34.375999,84.839996,1.1844,2.3281,0.753125,4.9358
13293,0.842,0.9249,6.0612,0.5937,0.40557,34.818001,84.980003,1.1867,2.3366,0.760919,4.936
13294,0.83733,0.92775,6.0683,0.59471,0.4073,34.967999,85.333,1.1894,2.3171,0.758093,4.9436
13297,0.8384,0.9284,6.0691,0.5948,0.40798,34.908001,85.400002,1.1942,2.3344,0.759013,4.9384
13298,0.8368,0.9226,6.1053,0.5917,0.40451,35.080002,85.419998,1.1906,2.3355,0.761789,5.0886
13299,0.82892,0.9158,6.0374,0.5872,0.402,34.729,84.669998,1.1838,2.3115,0.752785,5.0621
13300,0.8244,0.9115,5.9912,0.5833,0.4004,34.472,84.029999,1.19,2.2815,0.747887,4.935
13301,0.82636,0.90635,6.0071,0.58102,0.3977,34.159,83.823997,1.1899,2.2898,0.751089,4.9915
13304,0.8267,0.9036,5.9951,0.57974,0.3997,34.178001,84.029999,1.1827,2.3019,0.748279,4.9897
13305,0.8247,0.9008,5.9283,0.5779,0.3981,33.967999,83.889999,1.1797,2.288,0.7414,5.0189
13306,0.8249,0.9051,5.9363,0.5794,0.39952,33.942001,84.150002,1.177,2.2846,0.742391,4.9958
13307,0.83262,0.91488,5.9408,0.58672,0.40277,33.966999,84.550003,1.185,2.3192,0.742611,4.9988
13308,0.8299,0.92278,5.9961,0.59333,0.40742,34.257,85.466003,1.1832,2.3455,0.750525,5.029
13311,0.8155,0.9155,5.9364,0.5897,0.4027,34.014999,84.910004,1.1868,2.3534,0.742391,5.03
13312,0.8206,0.9125,5.9173,0.5874,0.402,33.856998,84.940002,1.1873,2.361,0.737626,5.0454
13313,0.82109,0.9071,5.8992,0.5846,0.3996,33.777,84.699997,1.1826,2.3612,0.73779,5.0363
13314,0.8245,0.913,5.9165,0.5872,0.401,34.000999,85.139999,1.189,2.3823,0.742611,5.0926
13315,0.8288,0.9113,5.8897,0.58435,0.3978,33.619999,85.059998,1.1955,2.3651,0.739426,5.0672
13318,0.8246,0.9127,5.8831,0.585,0.39995,33.735001,84.949997,1.19355,2.3808,0.736485,5.1456
13319,0.82426,0.91296,5.8806,0.58575,0.40008,33.819,84.720001,1.1895,2.3814,0.737626,5.2182
13320,0.8175,0.9108,5.8982,0.5831,0.4001,33.848999,84.82,1.1957,2.3753,0.738607,5.2569
13321,0.8195,0.9109,5.8533,0.5826,0.40106,33.664001,85.129997,1.2035,2.3831,0.733622,5.3847
13322,0.82083,0.9117,5.8403,0.58408,0.40106,33.553001,85.249001,1.2063,2.3978,0.732011,5.4243
13325,0.8228,0.9098,5.8349,0.5816,0.4015,33.879002,85.120003,1.2107,2.3782,0.732923,5.4047
13326,0.8211,0.9101,5.8504,0.5818,0.40171,33.837002,85.080002,1.2152,2.3679,0.731797,5.3358
13327,0.81847,0.9084,5.8115,0.58065,0.40084,33.729,84.809998,1.22355,2.3568,0.729075,5.2616
13328,0.8198,0.9139,5.8389,0.5835,0.4041,34.192001,85.080002,1.2217,2.3718,0.739426,5.3348
13329,0.82802,0.90744,5.9197,0.58069,0.40117,33.923,85.002998,1.2162,2.3541,0.742777,NA
13332,0.8253,0.9087,5.9279,0.58005,0.4031,34.118,85.209999,1.2232,2.3253,0.742777,NA
13333,0.8238,0.9097,5.9324,0.581,0.40279,34.102001,85.559998,1.2211,2.3232,0.743826,NA
13334,0.8243,0.9125,5.9147,0.5822,0.40394,34.073002,85.690002,1.2261,2.3541,0.741895,NA
13335,0.829,0.9158,5.9426,0.5834,0.40585,34.158001,85.919998,1.2325,2.3447,0.745712,NA
13336,0.83659,0.91922,5.989,0.58599,0.40537,34.334999,85.656998,1.2295,2.3925,0.751993,NA
13339,0.8387,0.9186,5.9609,0.5862,0.4053,34.363998,85.400002,1.2221,2.3758,0.747384,NA
13340,0.8511,0.9224,5.9953,0.58928,0.40776,34.709999,85.989998,1.2188,2.3746,0.752672,NA
13341,0.852,0.9275,6.0041,0.5917,0.4099,34.622002,86.739998,1.2156,2.3957,0.752785,NA
13342,0.852,0.9254,5.9995,0.5932,0.4083,34.813999,86.900002,1.2174,2.4029,0.753579,NA
13343,0.8502,0.93159,5.8078,0.59634,0.40901,34.726002,87.528,1.2141,2.3956,0.754489,NA
13346,0.84922,0.9327,5.9739,0.5971,0.41085,34.819,87.529999,1.2032,2.4091,0.747887,NA
13347,0.8475,0.9351,5.9597,0.5969,0.40906,34.763,87.610001,1.19605,2.4032,0.746993,NA
13348,0.8506,0.936,5.9468,0.59542,0.40703,35.108002,87.629997,1.1997,2.3616,0.750582,NA
